uf,tipo,acidentes
Acre,Atropelamento de Animal,11
Acre,Atropelamento de Pedestre,17
Acre,Capotamento,5
Acre,Colisão com objeto,13
Acre,Colisão frontal,26
Acre,Colisão lateral mesmo sentido,49
Acre,Colisão lateral sentido oposto,14
Acre,Colisão transversal,61
Acre,Colisão traseira,99
Acre,Derramamento de carga,1
Acre,Engavetamento,7
Acre,Incêndio,4
Acre,Queda de ocupante de veículo,26
Acre,Saída de leito carroçável,58
Acre,Tombamento,29
Alagoas,Atropelamento de Animal,35
Alagoas,Atropelamento de Pedestre,49
Alagoas,Capotamento,28
Alagoas,Colisão com objeto,53
Alagoas,Colisão frontal,95
Alagoas,Colisão lateral mesmo sentido,51
Alagoas,Colisão lateral sentido oposto,45
Alagoas,Colisão transversal,145
Alagoas,Colisão traseira,130
Alagoas,Engavetamento,9
Alagoas,Eventos atípicos,3
Alagoas,Incêndio,33
Alagoas,Queda de ocupante de veículo,46
Alagoas,Saída de leito carroçável,119
Alagoas,Tombamento,84
Amazonas,Atropelamento de Animal,1
Amazonas,Atropelamento de Pedestre,14
Amazonas,Capotamento,7
Amazonas,Colisão com objeto,16
Amazonas,Colisão frontal,14
Amazonas,Colisão lateral mesmo sentido,10
Amazonas,Colisão lateral sentido oposto,9
Amazonas,Colisão transversal,17
Amazonas,Colisão traseira,31
Amazonas,Engavetamento,1
Amazonas,Eventos atípicos,2
Amazonas,Incêndio,9
Amazonas,Queda de ocupante de veículo,6
Amazonas,Saída de leito carroçável,53
Amazonas,Tombamento,21
Amapá,Atropelamento de Animal,2
Amapá,Atropelamento de Pedestre,8
Amapá,Capotamento,7
Amapá,Colisão com objeto,6
Amapá,Colisão frontal,34
Amapá,Colisão lateral mesmo sentido,22
Amapá,Colisão lateral sentido oposto,6
Amapá,Colisão transversal,46
Amapá,Colisão traseira,39
Amapá,Eventos atípicos,5
Amapá,Incêndio,1
Amapá,Queda de ocupante de veículo,9
Amapá,Saída de leito carroçável,31
Amapá,Tombamento,19
Bahia,Atropelamento de Animal,114
Bahia,Atropelamento de Pedestre,285
Bahia,Capotamento,142
Bahia,Colisão com objeto,207
Bahia,Colisão frontal,701
Bahia,Colisão lateral mesmo sentido,455
Bahia,Colisão lateral sentido oposto,318
Bahia,Colisão transversal,939
Bahia,Colisão traseira,1027
Bahia,Derramamento de carga,10
Bahia,Engavetamento,121
Bahia,Eventos atípicos,17
Bahia,Incêndio,205
Bahia,Queda de ocupante de veículo,337
Bahia,Saída de leito carroçável,750
Bahia,Tombamento,465
Ceará,Atropelamento de Animal,54
Ceará,Atropelamento de Pedestre,105
Ceará,Capotamento,19
Ceará,Colisão com objeto,108
Ceará,Colisão frontal,159
Ceará,Colisão lateral mesmo sentido,177
Ceará,Colisão lateral sentido oposto,72
Ceará,Colisão transversal,270
Ceará,Colisão traseira,412
Ceará,Derramamento de carga,2
Ceará,Engavetamento,41
Ceará,Eventos atípicos,14
Ceará,Incêndio,24
Ceará,Queda de ocupante de veículo,81
Ceará,Saída de leito carroçável,154
Ceará,Tombamento,128
Distrito Federal,Atropelamento de Animal,12
Distrito Federal,Atropelamento de Pedestre,68
Distrito Federal,Capotamento,36
Distrito Federal,Colisão com objeto,78
Distrito Federal,Colisão frontal,23
Distrito Federal,Colisão lateral mesmo sentido,299
Distrito Federal,Colisão lateral sentido oposto,13
Distrito Federal,Colisão transversal,135
Distrito Federal,Colisão traseira,376
Distrito Federal,Engavetamento,30
Distrito Federal,Eventos atípicos,7
Distrito Federal,Incêndio,14
Distrito Federal,Queda de ocupante de veículo,89
Distrito Federal,Saída de leito carroçável,238
Distrito Federal,Sinistro pessoal de trânsito,1
Distrito Federal,Tombamento,66
Espírito Santo,Atropelamento de Animal,27
Espírito Santo,Atropelamento de Pedestre,200
Espírito Santo,Capotamento,42
Espírito Santo,Colisão com objeto,255
Espírito Santo,Colisão frontal,267
Espírito Santo,Colisão lateral mesmo sentido,412
Espírito Santo,Colisão lateral sentido oposto,136
Espírito Santo,Colisão transversal,677
Espírito Santo,Colisão traseira,667
Espírito Santo,Derramamento de carga,3
Espírito Santo,Engavetamento,53
Espírito Santo,Eventos atípicos,12
Espírito Santo,Incêndio,60
Espírito Santo,Queda de ocupante de veículo,212
Espírito Santo,Saída de leito carroçável,276
Espírito Santo,Tombamento,414
Goiás,Atropelamento de Animal,86
Goiás,Atropelamento de Pedestre,187
Goiás,Capotamento,105
Goiás,Colisão com objeto,341
Goiás,Colisão frontal,211
Goiás,Colisão lateral mesmo sentido,365
Goiás,Colisão lateral sentido oposto,103
Goiás,Colisão transversal,446
Goiás,Colisão traseira,1023
Goiás,Derramamento de carga,10
Goiás,Engavetamento,57
Goiás,Eventos atípicos,23
Goiás,Incêndio,148
Goiás,Queda de ocupante de veículo,252
Goiás,Saída de leito carroçável,1047
Goiás,Tombamento,336
Maranhão,Atropelamento de Animal,31
Maranhão,Atropelamento de Pedestre,90
Maranhão,Capotamento,32
Maranhão,Colisão com objeto,50
Maranhão,Colisão frontal,264
Maranhão,Colisão lateral mesmo sentido,132
Maranhão,Colisão lateral sentido oposto,87
Maranhão,Colisão transversal,367
Maranhão,Colisão traseira,347
Maranhão,Derramamento de carga,3
Maranhão,Engavetamento,29
Maranhão,Eventos atípicos,8
Maranhão,Incêndio,31
Maranhão,Queda de ocupante de veículo,61
Maranhão,Saída de leito carroçável,218
Maranhão,Sinistro pessoal de trânsito,1
Maranhão,Tombamento,118
Minas Gerais,Atropelamento de Animal,179
Minas Gerais,Atropelamento de Pedestre,541
Minas Gerais,Capotamento,288
Minas Gerais,Colisão com objeto,1143
Minas Gerais,Colisão frontal,852
Minas Gerais,Colisão lateral mesmo sentido,1238
Minas Gerais,Colisão lateral sentido oposto,427
Minas Gerais,Colisão transversal,1328
Minas Gerais,Colisão traseira,2432
Minas Gerais,Derramamento de carga,16
Minas Gerais,Engavetamento,236
Minas Gerais,Eventos atípicos,48
Minas Gerais,Incêndio,416
Minas Gerais,Queda de ocupante de veículo,459
Minas Gerais,Saída de leito carroçável,2689
Minas Gerais,Sinistro pessoal de trânsito,3
Minas Gerais,Tombamento,1536
Mato Grosso do Sul,Atropelamento de Animal,94
Mato Grosso do Sul,Atropelamento de Pedestre,76
Mato Grosso do Sul,Capotamento,30
Mato Grosso do Sul,Colisão com objeto,174
Mato Grosso do Sul,Colisão frontal,138
Mato Grosso do Sul,Colisão lateral mesmo sentido,128
Mato Grosso do Sul,Colisão lateral sentido oposto,135
Mato Grosso do Sul,Colisão transversal,323
Mato Grosso do Sul,Colisão traseira,323
Mato Grosso do Sul,Derramamento de carga,7
Mato Grosso do Sul,Engavetamento,27
Mato Grosso do Sul,Eventos atípicos,31
Mato Grosso do Sul,Incêndio,110
Mato Grosso do Sul,Queda de ocupante de veículo,24
Mato Grosso do Sul,Saída de leito carroçável,517
Mato Grosso do Sul,Tombamento,281
Mato Grosso,Atropelamento de Animal,94
Mato Grosso,Atropelamento de Pedestre,70
