uf,mes,acidentes
Acre,Jan/25,14
Acre,Fev/25,22
Acre,Mar/25,16
Acre,Abr/25,18
Acre,Mai/25,25
Acre,Jun/25,26
Acre,Jul/25,23
Acre,Ago/25,23
Acre,Set/25,35
Acre,Out/25,19
Acre,Nov/25,27
Acre,Dez/25,32
Acre,Jan/26,20
Acre,Fev/26,20
Acre,Mar/26,35
Acre,Abr/26,19
Acre,Mai/26,22
Acre,Jun/26,24
Alagoas,Jan/25,57
Alagoas,Fev/25,53
Alagoas,Mar/25,53
Alagoas,Abr/25,56
Alagoas,Mai/25,52
Alagoas,Jun/25,54
Alagoas,Jul/25,62
Alagoas,Ago/25,48
Alagoas,Set/25,46
Alagoas,Out/25,50
Alagoas,Nov/25,51
Alagoas,Dez/25,47
Alagoas,Jan/26,55
Alagoas,Fev/26,47
Alagoas,Mar/26,53
Alagoas,Abr/26,48
Alagoas,Mai/26,49
Alagoas,Jun/26,44
Amazonas,Jan/25,11
Amazonas,Fev/25,8
Amazonas,Mar/25,13
Amazonas,Abr/25,12
Amazonas,Mai/25,13
Amazonas,Jun/25,9
Amazonas,Jul/25,16
Amazonas,Ago/25,6
Amazonas,Set/25,18
Amazonas,Out/25,10
Amazonas,Nov/25,10
Amazonas,Dez/25,12
Amazonas,Jan/26,11
Amazonas,Fev/26,9
Amazonas,Mar/26,14
Amazonas,Abr/26,10
Amazonas,Mai/26,18
Amazonas,Jun/26,11
Amapá,Jan/25,8
Amapá,Fev/25,11
Amapá,Mar/25,15
Amapá,Abr/25,10
Amapá,Mai/25,14
Amapá,Jun/25,16
Amapá,Jul/25,11
Amapá,Ago/25,22
Amapá,Set/25,16
Amapá,Out/25,14
Amapá,Nov/25,17
Amapá,Dez/25,15
Amapá,Jan/26,14
Amapá,Fev/26,12
Amapá,Mar/26,15
Amapá,Abr/26,11
Amapá,Mai/26,9
Amapá,Jun/26,5
Bahia,Jan/25,329
Bahia,Fev/25,277
Bahia,Mar/25,342
Bahia,Abr/25,342
Bahia,Mai/25,370
Bahia,Jun/25,402
Bahia,Jul/25,334
Bahia,Ago/25,352
Bahia,Set/25,327
Bahia,Out/25,350
Bahia,Nov/25,340
Bahia,Dez/25,343
Bahia,Jan/26,360
Bahia,Fev/26,315
Bahia,Mar/26,357
Bahia,Abr/26,322
Bahia,Mai/26,329
Bahia,Jun/26,302
Ceará,Jan/25,109
Ceará,Fev/25,103
Ceará,Mar/25,112
Ceará,Abr/25,112
Ceará,Mai/25,122
Ceará,Jun/25,147
Ceará,Jul/25,136
Ceará,Ago/25,124
Ceará,Set/25,79
Ceará,Out/25,81
Ceará,Nov/25,82
Ceará,Dez/25,95
Ceará,Jan/26,78
Ceará,Fev/26,80
Ceará,Mar/26,92
Ceará,Abr/26,93
Ceará,Mai/26,102
Ceará,Jun/26,73
Distrito Federal,Jan/25,67
Distrito Federal,Fev/25,82
Distrito Federal,Mar/25,81
Distrito Federal,Abr/25,86
Distrito Federal,Mai/25,85
Distrito Federal,Jun/25,78
Distrito Federal,Jul/25,90
Distrito Federal,Ago/25,95
Distrito Federal,Set/25,90
Distrito Federal,Out/25,83
Distrito Federal,Nov/25,91
Distrito Federal,Dez/25,83
Distrito Federal,Jan/26,76
Distrito Federal,Fev/26,67
Distrito Federal,Mar/26,92
Distrito Federal,Abr/26,92
Distrito Federal,Mai/26,89
Distrito Federal,Jun/26,58
Espírito Santo,Jan/25,173
Espírito Santo,Fev/25,209
Espírito Santo,Mar/25,208
Espírito Santo,Abr/25,197
Espírito Santo,Mai/25,250
Espírito Santo,Jun/25,246
Espírito Santo,Jul/25,212
Espírito Santo,Ago/25,234
Espírito Santo,Set/25,225
Espírito Santo,Out/25,232
Espírito Santo,Nov/25,225
Espírito Santo,Dez/25,231
Espírito Santo,Jan/26,180
Espírito Santo,Fev/26,208
Espírito Santo,Mar/26,192
Espírito Santo,Abr/26,185
Espírito Santo,Mai/26,187
Espírito Santo,Jun/26,119
Goiás,Jan/25,229
Goiás,Fev/25,215
Goiás,Mar/25,286
Goiás,Abr/25,251
Goiás,Mai/25,245
Goiás,Jun/25,270
Goiás,Jul/25,281
Goiás,Ago/25,272
Goiás,Set/25,278
Goiás,Out/25,277
Goiás,Nov/25,265
Goiás,Dez/25,327
Goiás,Jan/26,269
Goiás,Fev/26,259
Goiás,Mar/26,306
Goiás,Abr/26,272
Goiás,Mai/26,255
