uf,acidentes_valor,acidentes_variacao,leitos_valor,leitos_variacao,atendimentos_valor,atendimentos_variacao,obitos_valor,obitos_variacao
Acre,176,"25.6%",43,"37.8%",252,"36.3%",8,"-2.1%"
Alagoas,267,"-9.8%",115,"-6.0%",309,"-18.7%",30,"-27.2%"
Amazonas,81,"10.3%",25,"2.4%",135,"22.5%",20,"16.9%"
Amapá,79,"19.3%",15,"-6.2%",108,"25.0%",4,"-33.8%"
Bahia,1975,"-0.5%",786,"8.9%",2693,"-4.3%",294,"6.4%"
Ceará,428,"-17.3%",155,"-12.4%",591,"-15.1%",69,"-11.4%"
Distrito Federal,514,"8.4%",141,"37.9%",659,"20.1%",26,"7.9%"
Espírito Santo,1128,"5.3%",351,"5.5%",1496,"3.6%",83,"7.4%"
Goiás,1657,"7.3%",523,"12.1%",1914,"3.1%",183,"11.8%"
Maranhão,739,"21.8%",236,"12.6%",864,"20.3%",145,"33.9%"
Minas Gerais,4478,"5.1%",1365,"10.3%",5685,"-0.0%",351,"-3.3%"
Mato Grosso do Sul,792,"3.7%",223,"6.2%",884,"0.3%",71,"3.2%"
Mato Grosso,1215,"-0.1%",292,"-7.2%",1354,"-4.5%",127,"11.7%"
Pará,610,"19.2%",182,"17.0%",713,"20.0%",102,"27.5%"
Paraíba,728,"-13.8%",264,"-11.2%",907,"-13.3%",69,"9.3%"
Pernambuco,1643,"7.5%",564,"10.3%",1970,"6.2%",202,"18.4%"
Piauí,681,"5.2%",240,"-4.7%",786,"-2.8%",73,"-12.5%"
Paraná,3851,"5.2%",890,"1.1%",4460,"3.5%",252,"-6.3%"
Rio de Janeiro,3134,"5.3%",557,"-1.3%",3759,"1.4%",168,"1.3%"
Rio Grande do Norte,719,"9.0%",177,"-6.6%",855,"6.2%",54,"8.8%"
Rondônia,967,"11.4%",236,"6.6%",1135,"10.0%",70,"26.6%"
Roraima,46,"-10.6%",7,"-64.0%",66,"-29.5%",10,"16.4%"
Rio Grande do Sul,2128,"-2.4%",454,"-9.1%",2449,"-5.7%",185,"12.9%"
Santa Catarina,4103,"3.6%",1096,"2.2%",4915,"1.8%",188,"-3.5%"
Sergipe,272,"2.7%",60,"-8.0%",291,"-1.1%",25,"-2.5%"
São Paulo,2142,"4.7%",389,"12.1%",2481,"7.3%",116,"27.4%"
Tocantins,380,"6.0%",110,"-2.5%",473,"4.4%",56,"3.8%"
