municipio,uf,acidentes
Brasilia,DF,1485
Duque De Caxias,RJ,1233
Sao Jose,SC,1135
Guarulhos,SP,1045
Betim,MG,1030
Curitiba,PR,982
Recife,PE,935
Palhoca,SC,830
Joao Pessoa,PB,806
Teresina,PI,722
Sao Jose Dos Pinhais,PR,692
Serra,ES,683
Nova Iguacu,RJ,663
Rio De Janeiro,RJ,647
Angra Dos Reis,RJ,639
Feira De Santana,BA,613
Sao Jose Dos Campos,SP,573
Araquari,SC,547
Itajai,SC,546
Anapolis,GO,543
Uberaba,MG,528
Porto Velho,RO,526
Campos Dos Goytacazes,RJ,520
Linhares,ES,509
Sao Goncalo,RJ,494
Uberlandia,MG,484
Cascavel,PR,477
Contagem,MG,454
Sao Paulo,SP,454
Joinville,SC,450
