uf,municipio,acidentes
Acre,Rio Branco,257
Acre,Cruzeiro Do Sul,23
Acre,Sena Madureira,21
Acre,Senador Guiomard,21
Acre,Bujari,20
Acre,Epitaciolandia,19
Acre,Xapuri,14
Acre,Capixaba,12
Acre,Acrelandia,9
Acre,Tarauaca,7
Acre,Brasileia,7
Acre,Feijo,3
Acre,Placido De Castro,2
Acre,Porto Acre,2
Acre,Assis Brasil,1
Alagoas,Rio Largo,97
Alagoas,Pilar,66
Alagoas,Sao Miguel Dos Campos,61
Alagoas,Palmeira Dos Indios,53
Alagoas,Satuba,45
Alagoas,Uniao Dos Palmares,43
Alagoas,Messias,40
Alagoas,Flexeiras,39
Alagoas,Atalaia,36
Alagoas,Teotonio Vilela,34
Alagoas,Sao Sebastiao,34
Alagoas,Junqueiro,29
Alagoas,Santana Do Ipanema,29
Alagoas,Porto Real Do Colegio,29
Alagoas,Murici,27
Amazonas,Manaus,85
Amazonas,Humaita,44
Amazonas,Presidente Figueiredo,39
Amazonas,Canutama,15
Amazonas,Careiro,7
Amazonas,Tapaua,4
Amazonas,Manicore,3
Amazonas,Rio Preto Da Eva,3
Amazonas,Beruri,3
Amazonas,Careiro Da Varzea,3
Amazonas,Manaquiri,2
Amazonas,Apui,1
Amazonas,Borba,1
Amazonas,Labrea,1
Amapá,Macapa,118
Amapá,Oiapoque,38
Amapá,Porto Grande,33
Amapá,Tartarugalzinho,14
Amapá,Ferreira Gomes,8
Amapá,Calcoene,8
Amapá,Laranjal Do Jari,4
Amapá,Pracuuba,3
Amapá,Pedra Branca Do Amapari,3
Amapá,Amapa,2
Amapá,Mazagao,2
Amapá,Santana,2
Bahia,Feira De Santana,613
Bahia,Vitoria Da Conquista,439
Bahia,Salvador,353
Bahia,Eunapolis,196
Bahia,Simoes Filho,178
Bahia,Porto Seguro,164
Bahia,Jequie,147
Bahia,Barreiras,145
Bahia,Amelia Rodrigues,140
Bahia,Juazeiro,135
Bahia,Sao Sebastiao Do Passe,118
Bahia,Itabuna,116
Bahia,Alagoinhas,111
Bahia,Teixeira De Freitas,102
Bahia,Candeias,98
Ceará,Fortaleza,318
Ceará,Caucaia,166
Ceará,Tiangua,103
Ceará,Aquiraz,93
Ceará,Sobral,92
Ceará,Eusebio,85
Ceará,Horizonte,81
Ceará,Aracati,73
Ceará,Itaitinga,57
Ceará,Pacajus,51
Ceará,Caninde,46
Ceará,Russas,44
Ceará,Caridade,40
Ceará,Ico,38
Ceará,Milagres,36
Distrito Federal,Brasilia,1485
Espírito Santo,Serra,683
Espírito Santo,Linhares,509
Espírito Santo,Cariacica,419
Espírito Santo,Viana,226
Espírito Santo,Sao Mateus,216
Espírito Santo,Domingos Martins,137
Espírito Santo,Colatina,116
Espírito Santo,Ibiracu,102
Espírito Santo,Ibatiba,99
Espírito Santo,Marechal Floriano,93
Espírito Santo,Guarapari,90
Espírito Santo,Conceicao Da Barra,88
Espírito Santo,Anchieta,84
Espírito Santo,Rio Novo Do Sul,75
Espírito Santo,Venda Nova Do Imigrante,73
Goiás,Anapolis,543
Goiás,Goiania,304
Goiás,Rio Verde,272
Goiás,Valparaiso De Goias,205
Goiás,Aparecida De Goiania,197
Goiás,Luziania,175
Goiás,Aguas Lindas De Goias,174
Goiás,Cristalina,169
Goiás,Alexania,115
Goiás,Formosa,111
Goiás,Abadiania,110
Goiás,Jatai,106
Goiás,Catalao,104
Goiás,Morrinhos,90
Goiás,Hidrolandia,86
Maranhão,Sao Luis,363
Maranhão,Imperatriz,182
Maranhão,Acailandia,138
Maranhão,Caxias,86
Maranhão,Balsas,84
Maranhão,Timon,82
Maranhão,Bacabeira,70
Maranhão,Barra Do Corda,65
Maranhão,Itapecuru Mirim,55
Maranhão,Santa Ines,47
Maranhão,Barao De Grajau,34
Maranhão,Peritoro,33
Maranhão,Santa Rita,32
Maranhão,Santa Luzia,31
Maranhão,Alto Alegre Do Maranhao,28
Minas Gerais,Betim,1030
Minas Gerais,Uberaba,528
Minas Gerais,Uberlandia,484
Minas Gerais,Contagem,454
Minas Gerais,Governador Valadares,400
Minas Gerais,Ribeirao Das Neves,313
Minas Gerais,Manhuacu,297
Minas Gerais,Nova Lima,244
Minas Gerais,Muriae,236
Minas Gerais,Teofilo Otoni,232
