uf,populacao,ano
São Paulo,46081801,2025
Minas Gerais,21393441,2025
Rio de Janeiro,17223547,2025
Bahia,14870907,2025
Paraná,11890517,2025
Rio Grande do Sul,11233263,2025
Pernambuco,9562007,2025
Ceará,9268836,2025
Pará,8711196,2025
Santa Catarina,8187029,2025
Goiás,7423629,2025
Maranhão,7018211,2025
Amazonas,4321616,2025
Paraíba,4164468,2025
Espírito Santo,4126854,2025
Mato Grosso,3893659,2025
Rio Grande do Norte,3455236,2025
Piauí,3384547,2025
Alagoas,3220848,2025
Distrito Federal,2996899,2025
Mato Grosso do Sul,2924631,2025
Sergipe,2299425,2025
Rondônia,1751950,2025
Tocantins,1586859,2025
Acre,884372,2025
Amapá,806517,2025
Roraima,738772,2025
