uf,leitos_estim,atendimentos_estim,obitos
Minas Gerais,4176,18455,1128
Santa Catarina,3335,14660,629
Paraná,2773,13437,862
Bahia,2015,8421,859
Rio de Janeiro,1805,11696,496
Pernambuco,1606,5539,507
Rio Grande do Sul,1585,8477,491
Goiás,1390,5721,472
Espírito Santo,1184,4899,238
São Paulo,1093,7522,312
Mato Grosso,1048,4497,357
Paraíba,974,3472,205
Piauí,859,2665,252
Mato Grosso do Sul,687,2787,219
Maranhão,678,2294,389
Rio Grande do Norte,648,2818,161
Ceará,630,2296,249
Rondônia,602,2781,157
Pará,550,2009,304
Alagoas,353,1216,137
Distrito Federal,314,1677,71
Tocantins,296,1339,156
Sergipe,221,972,77
Acre,111,542,37
Amapá,88,360,20
Roraima,80,315,37
Amazonas,68,285,43
