rodovia,trecho,acidentes,percentual
BR-101,"Trechos em SC/RJ/ES",18923,"17.8%"
BR-116,"Trechos em SP/RJ/MG",15912,"15.0%"
BR-381,"Trechos em MG/SP",5124,"4.8%"
BR-040,"Trechos em MG/RJ/GO",5078,"4.8%"
BR-153,"Trechos em GO/TO/SP",4088,"3.9%"
BR-163,"Trechos em MT/MS/PR",3674,"3.5%"
BR-364,"Trechos em RO/MT/AC",3537,"3.3%"
BR-277,"Trechos em PR",3229,"3.0%"
BR-376,"Trechos em PR/MS",2674,"2.5%"
BR-262,"Trechos em MG/ES/MS",2547,"2.4%"
BR-230,"Trechos em PB/PA/MA",2507,"2.4%"
BR-282,"Trechos em SC",2119,"2.0%"
BR-470,"Trechos em SC/RS",2031,"1.9%"
BR-316,"Trechos em PI/PA/MA",1787,"1.7%"
BR-060,"Trechos em GO/MS/DF",1648,"1.6%"
BR-070,"Trechos em MT/DF/GO",1562,"1.5%"
BR-324,"Trechos em BA",1403,"1.3%"
BR-280,"Trechos em SC/PR",1365,"1.3%"
BR-369,"Trechos em PR",1296,"1.2%"
BR-232,"Trechos em PE",1252,"1.2%"
