uf,mes,acidentes,leitos_estim,atendimentos_estim,obitos
Acre,Jan/25,14,5,13,2
Acre,Fev/25,22,3,29,2
Acre,Mar/25,16,3,15,2
Acre,Abr/25,18,8,22,3
Acre,Mai/25,25,9,26,1
Acre,Jun/25,26,7,37,2
Acre,Jul/25,23,5,22,1
Acre,Ago/25,23,6,33,4
Acre,Set/25,35,12,45,3
Acre,Out/25,19,8,19,2
Acre,Nov/25,27,6,33,3
Acre,Dez/25,32,8,63,4
Acre,Jan/26,20,3,20,4
Acre,Fev/26,20,2,46,1
Acre,Mar/26,35,6,39,1
Acre,Abr/26,19,3,20,1
Acre,Mai/26,22,6,28,1
Acre,Jun/26,24,11,32,0
Alagoas,Jan/25,57,14,93,11
Alagoas,Fev/25,53,15,76,11
Alagoas,Mar/25,53,23,60,3
Alagoas,Abr/25,56,28,77,9
Alagoas,Mai/25,52,20,56,7
Alagoas,Jun/25,54,14,65,7
Alagoas,Jul/25,62,24,92,11
Alagoas,Ago/25,48,20,67,12
Alagoas,Set/25,46,16,50,6
Alagoas,Out/25,50,15,66,1
Alagoas,Nov/25,51,25,73,8
Alagoas,Dez/25,47,17,61,10
Alagoas,Jan/26,55,31,76,10
Alagoas,Fev/26,47,17,73,7
Alagoas,Mar/26,53,13,61,7
Alagoas,Abr/26,48,24,65,6
Alagoas,Mai/26,49,16,58,6
Alagoas,Jun/26,44,21,47,5
Amazonas,Jan/25,11,6,14,2
Amazonas,Fev/25,8,2,5,0
Amazonas,Mar/25,13,1,22,5
Amazonas,Abr/25,12,5,12,0
Amazonas,Mai/25,13,3,13,3
Amazonas,Jun/25,9,3,10,0
Amazonas,Jul/25,16,12,20,4
Amazonas,Ago/25,6,1,5,3
Amazonas,Set/25,18,6,25,2
Amazonas,Out/25,10,2,12,2
Amazonas,Nov/25,10,2,15,3
Amazonas,Dez/25,12,1,22,2
Amazonas,Jan/26,11,2,14,4
Amazonas,Fev/26,9,1,16,3
Amazonas,Mar/26,14,2,16,1
Amazonas,Abr/26,10,5,18,3
Amazonas,Mai/26,18,13,33,4
Amazonas,Jun/26,11,1,13,2
Amapá,Jan/25,8,2,11,1
Amapá,Fev/25,11,4,9,0
Amapá,Mar/25,15,13,28,5
Amapá,Abr/25,10,2,12,0
Amapá,Mai/25,14,7,20,2
Amapá,Jun/25,16,8,25,0
Amapá,Jul/25,11,9,47,1
